Variable Name,Role,Type,Demographic,Description,Units,Missing Values
age,Feature,Integer,Age,,years,no
sex,Feature,Categorical,Sex,sex (1 = male; 0 = female),,no
cp,Feature,Categorical,,chest pain type -- Value 1: typical angina -- Value 2: atypical angina -- Value 3: non-anginal pain -- Value 4: asymptomatic,,no
trestbps,Feature,Integer,,resting blood pressure (on admission to the hospital),mm Hg,no
chol,Feature,Integer,,serum cholestoral,mg/dl,no
fbs,Feature,Categorical,,fasting blood sugar > 120 mg/dl (1 = true; 0 = false),,no
restecg,Feature,Categorical,,resting electrocardiographic results -- Value 0: normal -- Value 1: having ST-T wave abnormality (T wave inversions and/or ST elevation or,,no
thalach,Feature,Integer,,maximum heart rate achieved,,no
exang,Feature,Categorical,,exercise induced angina (1 = yes; 0 = no),,no
oldpeak,Feature,Integer,,ST depression induced by exercise relative to rest,,no
slope,Feature,Categorical,,the slope of the peak exercise ST segment -- Value 1: upsloping -- Value 2: flat -- Value 3: downsloping,,no
ca,Feature,Integer,,number of major vessels (0-3) colored by flourosopy,,yes
thal,Feature,Categorical,,3 = normal; 6 = fixed defect; 7 = reversable defect,,yes
num,Target,Integer,,diagnosis of heart disease (angiographic disease status) -- Value 0: < 50% diameter narrowing -- Value 1: > 50% diameter narrowing,,no
